 UJEŚCISKO-ŁOSTOWICE ,  ﻿11 Listopada
 ANIOŁKI ,  Powstańców Warszawskich
 SIEDLCE ,  Powstańców Warszawskich
 SUCHANINO ,  Powstańców Warszawskich
 ZASPA-ROZSTAJE ,  Powstańców Wielkopolskich
 KOKOSZKI ,  Poziomkowa
 PRZYMORZE MAŁE ,  Poznańska
 ŚRÓDMIEŚCIE ,  Pożarnicza
 JASIEŃ ,  Pólnicy
 BRZEŹNO ,  Północna
 ŚRÓDMIEŚCIE ,  Profesorska
 OSOWA ,  Prometeusza
 WYSPA SOBIESZEWSKA ,  Promienista
 PRZERÓBKA ,  Promowa
 RUDNIKI ,  Prosta
 WZGÓRZE MICKIEWICZA ,  Protazego
 WRZESZCZ DOLNY ,  Próżna
 WRZESZCZ DOLNY ,  Bolesława Prusa
 UJEŚCISKO-ŁOSTOWICE ,  Przebiśniegowa
 WYSPA SOBIESZEWSKA ,  Przegalińska
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Przełom
 CHEŁM ,  Przemian
 UJEŚCISKO-ŁOSTOWICE ,  Przemyska
 NOWY PORT ,  Przemysłowa
 ŚRÓDMIEŚCIE ,  Przesmyk
 PRZERÓBKA ,  Przetoczna
 ŚRÓDMIEŚCIE ,  Przędzalnicza
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Przy Torze
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Przybrzeżna
 NOWY PORT ,  Przyjaciół
 JASIEŃ ,  Przyjazna
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Przyjemna
 ŚRÓDMIEŚCIE ,  Przyokopowa
 KOKOSZKI ,  Przyrodników
 JASIEŃ ,  Przytulna
 JASIEŃ ,  Przywidzka
 WRZESZCZ DOLNY ,  Wincentego Pstrowskiego
 ŚRÓDMIEŚCIE ,  Pszenna
 CHEŁM ,  Ptasia
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Ptasia
 PRZYMORZE MAŁE ,  Pucka
 BRZEŹNO ,  Kazimierza Pułaskiego
 OLSZYNKA ,  Pusta
 WRZESZCZ GÓRNY ,  Aleksandra Puszkina
 OSOWA ,  Rabatki
 PIECKI-MIGOWO ,  prof. Mariana Raciborskiego
 WRZESZCZ DOLNY ,  Racławicka
 MATARNIA ,  Radarowa
 MATARNIA ,  Radiowa
 ŚRÓDMIEŚCIE ,  Radna
 UJEŚCISKO-ŁOSTOWICE ,  Radomska
 WYSPA SOBIESZEWSKA ,  Radosna
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Radunicka
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Raduńska
 ŚRÓDMIEŚCIE ,  Rajska
 KOKOSZKI ,  Rakietowa
 PIECKI-MIGOWO ,  Franciszka Rakoczego
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Stefana Ramułta
 ŚRÓDMIEŚCIE ,  Reduta Dzik
 ŚRÓDMIEŚCIE ,  Reduta Miejska
 ŚRÓDMIEŚCIE ,  Reduta Miś
 ŚRÓDMIEŚCIE ,  Reduta Wilk
 ŚRÓDMIEŚCIE ,  Reduta Wyskok
 ŚRÓDMIEŚCIE ,  Reduta Żbik
 ŚRÓDMIEŚCIE ,  Refektarska
 CHEŁM ,  Reformacka
 OSOWA ,  Regatowa
 MŁYNISKA ,  Mikołaja Reja
 WRZESZCZ DOLNY ,  Mikołaja Reja
 WZGÓRZE MICKIEWICZA ,  Rejenta
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Tadeusza Rejtana
 JASIEŃ ,  Rekowska
 OSOWA ,  Relaksowa
 JASIEŃ ,  Remusa
 WRZESZCZ GÓRNY ,  Renesansowa
 WRZESZCZ GÓRNY ,  Władysława Reymonta
 ŚRÓDMIEŚCIE ,  Robotnicza
 VII DWÓR ,  Henryka Rodakowskiego
 WRZESZCZ GÓRNY ,  Rodzinna
 ŚRÓDMIEŚCIE ,  ks. Franciszka Rogaczewskiego
 CHEŁM ,  Rogalińska
 KOKOSZKI ,  Rokitnikowa
 STRZYŻA ,  Rolna
 PIECKI-MIGOWO ,  Romana Wyrobka
 WRZESZCZ GÓRNY ,  Romańska
 WRZESZCZ GÓRNY ,  Eugeniusza Romera
 BRĘTOWO ,  Rondo im. Św. Jana de La Salle 
 PIECKI-MIGOWO ,  Rondo im. Andrzeja Hakenbergera 
 SUCHANINO ,  Rondo im. Andrzeja Hakenbergera 
 MATARNIA ,  Rondo im. Jacka Kaczmarskiego 
 UJEŚCISKO-ŁOSTOWICE ,  Rondo Jacka Kuronia 
 UJEŚCISKO-ŁOSTOWICE ,  Rosiczki
 STOGI ,  Rozłogi
 CHEŁM ,  bpa. Hieronima Rozrażewskiego
 KOKOSZKI ,  Rozwojowa
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Równa
 ŚRÓDMIEŚCIE ,  Różana
 KOKOSZKI ,  Różany Stok
 STRZYŻA ,  Ludomira Różyckiego
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Rubinowa
 WYSPA SOBIESZEWSKA ,  Rufowa
 KOKOSZKI ,  Rumiankowa
 CHEŁM ,  Zygmunta Rumla
 WZGÓRZE MICKIEWICZA ,  Rusałki
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Rybacka
 ŚRÓDMIEŚCIE ,  Rybackie Pobrzeże
 ŚRÓDMIEŚCIE ,  Rybaki Dolne
 ŚRÓDMIEŚCIE ,  Rybaki Górne
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Jana Rybińskiego
 OLIWA ,  Opata Jacka Rybińskiego
 LETNICA ,  Rybitwy
 STOGI ,  Rybna
 NOWY PORT ,  Rybołowców
 ŚRÓDMIEŚCIE ,  Rycerska
 JASIEŃ ,  Rycerza Blizbora
 CHEŁM ,  Ludwika Rydygiera
 VII DWÓR ,  Aleksandra Rylkego
 JASIEŃ ,  Rysia
 CHEŁM ,  Gabriela Rzączyńskiego
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Rzeczna
 PRZYMORZE MAŁE ,  Aleja Rzeczypospolitej
 PRZYMORZE WIELKIE ,  Aleja Rzeczypospolitej
 ZASPA-ROZSTAJE ,  Aleja Rzeczypospolitej
 ZASPA-MŁYNIEC ,  Aleja Rzeczypospolitej
 PRZYMORZE MAŁE ,  Rzepichy
 ŚRÓDMIEŚCIE ,  Rzeźnicka
 RUDNIKI ,  Rzęsna
 ŚRÓDMIEŚCIE ,  Sadowa
 ŚRÓDMIEŚCIE ,  Salwator
 PRZYMORZE MAŁE ,  Sambora
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Sandomierska
 CHEŁM ,  Saneczkarska
 SIEDLCE ,  Sanocka
 WRZESZCZ DOLNY ,  Saperów
 OLIWA ,  Sarnia
 UJEŚCISKO-ŁOSTOWICE ,  Sasankowa
 MATARNIA ,  Satelitarna
 OSOWA ,  Saturna
 MATARNIA ,  Sąsiedzka
 OLIWA ,  Artura Schopenhauera
 SUCHANINO ,  Franciszka Schuberta
 SUCHANINO ,  Roberta Schumana
 WRZESZCZ GÓRNY ,  Secesyjna
 OSOWA ,  Seleny
 ŚRÓDMIEŚCIE ,  Stefanii Sempołowskiej
 CHEŁM ,  Ireny Sendlerowej
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Serbska
 JASIEŃ ,  Serdeczna
 ŚRÓDMIEŚCIE ,  Mariana Seredyńskiego
 KOKOSZKI ,  Sianowska
 OSOWA ,  prof. Michała Siedleckiego
 WRZESZCZ GÓRNY ,  Siedlicka
 LETNICA ,  Sielska
 VII DWÓR ,  Henryka Siemiradzkiego
 WRZESZCZ GÓRNY ,  Henryka Sienkiewicza
 PRZERÓBKA ,  Sienna
 STOGI ,  Sienna
 ŚRÓDMIEŚCIE ,  Sienna Grobla
 PRZERÓBKA ,  Siennicka
 ŚRÓDMIEŚCIE ,  Siennicka
 KOKOSZKI ,  Sierakowicka
 ŚRÓDMIEŚCIE ,  Sieroca
 KOKOSZKI ,  Sierpniowa
 OLSZYNKA ,  Sierpowa
 CHEŁM ,  Aleja gen.Władysława Sikorskiego
 RUDNIKI ,  Sitowie
 SIEDLCE ,  Skarpowa
 ZASPA-MŁYNIEC ,  Stanisława Skarżyńskiego
 STOGI ,  Skiby
 ANIOŁKI ,  Marii Skłodowskiej-Curie
 SIEDLCE ,  Skrajna
 STRZYŻA ,  Skwer prof. Pawła Gałuszki 
 ŚRÓDMIEŚCIE ,  Skwer im. Harcerzy Polskich w b. Wolnym Mieście Gdańsku 
 ŚRÓDMIEŚCIE ,  Skwer księdza Henryka Jankowskiego 
 STRZYŻA ,  Skwer Krzysztofa Kolbergera 
 ŚRÓDMIEŚCIE ,  Skwer im. Czesława Niemena 
 SIEDLCE ,  Skwer Ignacego Wilczewskiego 
 MATARNIA ,  mjr. Mieczysława Słabego
 ŚRÓDMIEŚCIE ,  Słodowników
 ŚRÓDMIEŚCIE ,  Słomiana
 OLIWA ,  Słoneczna
 UJEŚCISKO-ŁOSTOWICE ,  Słoneczna Dolina
 OLSZYNKA ,  Słonecznikowa
 WRZESZCZ GÓRNY ,  Antoniego Słonimskiego
 BRĘTOWO ,  Juliusza Słowackiego
 MATARNIA ,  Juliusza Słowackiego
 WRZESZCZ GÓRNY ,  Juliusza Słowackiego
 PRZYMORZE MAŁE ,  Słowiańska
 WYSPA SOBIESZEWSKA ,  Słowików
 PRZYMORZE MAŁE ,  Słupska
 KOKOSZKI ,  Smęgorzyńska
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Smętna
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Smoleńska
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Smolna
 ANIOŁKI ,  Mariana Smoluchowskiego
 OSOWA ,  Smugowa
 KOKOSZKI ,  Snycerzy
 WRZESZCZ GÓRNY ,  Jana Sobieskiego
 WYSPA SOBIESZEWSKA ,  Sobieszewska
 OLIWA ,  Sobolowa
 WRZESZCZ GÓRNY ,  Sobótki
 WRZESZCZ DOLNY ,  Sochaczewska
 STOGI ,  Sokola
 NOWY PORT ,  Solec
 PRZYMORZE MAŁE ,  Jana Solikowskiego
 BRZEŹNO ,  Ludwika Solskiego
 OSOWA ,  Stanisława Sołdka
 SIEDLCE ,  Sołecka
 KOKOSZKI ,  Somińska
 WZGÓRZE MICKIEWICZA ,  Jacka Soplicy
 OSOWA ,  Sopocka
 CHEŁM ,  gen. Kazimierza Sosnkowskiego
 WRZESZCZ GÓRNY ,  Sosnowa
 VII DWÓR ,  Kazimierza Sośnickiego
 SIEDLCE ,  Sowia
 SIEDLCE ,  gen. Józefa Sowińskiego
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Sówki
 OLIWA ,  Spacerowa
 OSOWA ,  Spacerowa 
 MATARNIA ,  Spadochroniarzy
 ŚRÓDMIEŚCIE ,  Spadzista
 ŚRÓDMIEŚCIE ,  Spichrzowa
 NOWY PORT ,  Spokojna
 OSOWA ,  Sportowa
 CHEŁM ,  Srebrna
 WRZESZCZ GÓRNY ,  Srebrniki
 ŚRÓDMIEŚCIE ,  Stajenna
 LETNICA ,  Stalowa
 ŚRÓDMIEŚCIE ,  Stara Stocznia
 PRZERÓBKA ,  Stara Twierdza
 ŚRÓDMIEŚCIE ,  Stare Domki
 SIEDLCE ,  Starodworska
 CHEŁM ,  Starogardzka 
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Starogardzka
 LETNICA ,  Starowiejska
 NOWY PORT ,  Starowiślna
 ZASPA-MŁYNIEC ,  Startowa
 ŚRÓDMIEŚCIE ,  Stary Dwór
 OLIWA ,  Stary Rynek Oliwski
 WRZESZCZ GÓRNY ,  Stanisława Staszica
 ŚRÓDMIEŚCIE ,  Stągiewna
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Steczka
 BRZEŹNO ,  Sternicza
 ŚRÓDMIEŚCIE ,  Stępkarska
 JASIEŃ ,  Stężycka
 CHEŁM ,  Stoczniowców
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Stogi
 KOKOSZKI ,  Stokłosy
 OLSZYNKA ,  Stokrotki
 ŚRÓDMIEŚCIE ,  Stolarska
 JASIEŃ ,  Stolema
 WZGÓRZE MICKIEWICZA ,  Stolnika
 KOKOSZKI ,  Storczykowa
 ŚRÓDMIEŚCIE ,  Straganiarska
 NOWY PORT ,  Strajku Dokerów
 WRZESZCZ DOLNY ,  Jana Strakowskiego
 CHEŁM ,  Straszyńska
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Stroma
 SIEDLCE ,  Andrzeja Struga
 STOGI ,  Wilhelma Stryjewskiego
 OSOWA ,  Strzelca
 CHEŁM ,  Strzelców Karpackich
 ŚRÓDMIEŚCIE ,  Strzelecka
 PRZYMORZE MAŁE ,  Subisława
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Subisława
 LETNICA ,  Sucha
 CHEŁM ,  Antoniego Suchanka
 PRZERÓBKA ,  mjr. Henryka Sucharskiego
 KOKOSZKI ,  Sudomska
 ŚRÓDMIEŚCIE ,  Sukiennicza
 KOKOSZKI ,  Sulmińska
 WRZESZCZ GÓRNY ,  Suwalska
 KOKOSZKI ,  Swarzewska
 MŁYNISKA ,  Swojska
 BRZEŹNO ,  Sybiraków
 STRZYŻA ,  księdza Bernarda Sychty
 STRZYŻA ,  Tadeusza Sygietyńskiego
 JASIEŃ ,  Sympatyczna
 MATARNIA ,  Synów Pułku
 OSOWA ,  Syriusza
 WRZESZCZ GÓRNY ,  Władysława Syrokomli
 ŚRÓDMIEŚCIE ,  Szafarnia
 OSOWA ,  Władysława Szafera
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Szafirowa
 KOKOSZKI ,  Szafranowa
 OSOWA ,  Szalupowa
 SIEDLCE ,  Szara
 OLSZYNKA ,  Szarotki
 PRZYMORZE MAŁE ,  Szczecińska
 JASIEŃ ,  Szczęśliwa
 PIECKI-MIGOWO ,  Szczodra
 ŚRÓDMIEŚCIE ,  Szczygla
 JASIEŃ ,  Szczytników
 CHEŁM ,  Szermiercza
 ŚRÓDMIEŚCIE ,  Szeroka
 ŚRÓDMIEŚCIE ,  Szewska
 LETNICA ,  Szklana Huta
 ŚRÓDMIEŚCIE ,  Szklary
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Szkocka
 NOWY PORT ,  Szkolna
 WYSPA SOBIESZEWSKA ,  Szkutnicza
 CHEŁM ,  Szmaragdowa
 CHEŁM ,  Lubomira Szopińskiego
 ŚRÓDMIEŚCIE ,  Szopy
 STOGI ,  Szpaki
 ŚRÓDMIEŚCIE ,  Szpitalna
 CHEŁM ,  prof. Stanisława Szpora
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Sztormowa
 RUDNIKI ,  Sztutowska
 ŚRÓDMIEŚCIE ,  Szuwary
 MATARNIA ,  Szybowcowa
 STRZYŻA ,  Karola Szymanowskiego
 UJEŚCISKO-ŁOSTOWICE ,  Szymbarska
 JASIEŃ ,  Szynszylowa
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Szyprów
 OLSZYNKA ,  Ścieżki
 PRZYMORZE MAŁE ,  Śląska
 UJEŚCISKO-ŁOSTOWICE ,  Śliwkowa
 ŚRÓDMIEŚCIE ,  Śluza
 MATARNIA ,  Śmigłowa
 ANIOŁKI ,  Śniadeckich
 LETNICA ,  Śnieżna
 ŚRÓDMIEŚCIE ,  Św. Barbary
 KOKOSZKI ,  Św. Brata Alberta
 ŚRÓDMIEŚCIE ,  Św. Ducha
 UJEŚCISKO-ŁOSTOWICE ,  Św. Huberta
 ŚRÓDMIEŚCIE ,  Św. Piotra
 ŚRÓDMIEŚCIE ,  Św. Trójcy
 WYSPA SOBIESZEWSKA ,  Świbnieńska
 ANIOŁKI ,  Świdnicka
 CHEŁM ,  Władysława Świechockiego
 OLIWA ,  Świerkowa
 ŚRÓDMIEŚCIE ,  Świętojańska
 CHEŁM ,  Świętokrzyska
 UJEŚCISKO-ŁOSTOWICE ,  Świętokrzyska
 PRZYMORZE MAŁE ,  Świętopełka
 UJEŚCISKO-ŁOSTOWICE ,  Jerzego Świrskiego
 JASIEŃ ,  Świstaka
 WZGÓRZE MICKIEWICZA ,  Świtezianki
 SUCHANINO ,  Taborowa
 RUDNIKI ,  Tama Pędzichowska
 STOGI ,  Tamka
 ŚRÓDMIEŚCIE ,  Tandeta
 JASIEŃ ,  Taneczna
 SIEDLCE ,  Tarasy
 RUDNIKI ,  Tarcice
 ŚRÓDMIEŚCIE ,  Targ Drzewny
 ŚRÓDMIEŚCIE ,  Targ Maślany
 ŚRÓDMIEŚCIE ,  Targ Rakowy
 ŚRÓDMIEŚCIE ,  Targ Rybny
 ŚRÓDMIEŚCIE ,  Targ Sienny
 ŚRÓDMIEŚCIE ,  Targ Węglowy
 RUDNIKI ,  Tarniny
 UJEŚCISKO-ŁOSTOWICE ,  Tarnowska
 ŚRÓDMIEŚCIE ,  Tartaczna
 OLIWA ,  Tatrzańska
 ŚRÓDMIEŚCIE ,  Teatralna
 MATARNIA ,  Teleskopowa
 MATARNIA ,  Telewizyjna
 OSOWA ,  Leonida Teligi
 WZGÓRZE MICKIEWICZA ,  Telimeny
 OSOWA ,  Temidy
 CHEŁM ,  Tenisowa
 OLIWA ,  Kazimierza Tetmajera
 OSOWA ,  Tezeusza
 WYSPA SOBIESZEWSKA ,  Tęczowa
 CHEŁM ,  Damazego Tilgnera
 BRĘTOWO ,  ks. Józefa Tischnera
 ŚRÓDMIEŚCIE ,  Tkacka
 ŚRÓDMIEŚCIE ,  Tobiasza
 ŚRÓDMIEŚCIE ,  Tokarska
 PRZYMORZE MAŁE ,  Tolkmicka
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Ryszarda Tomczaka
 CHEŁM ,  Topazowa
 WRZESZCZ GÓRNY ,  Topolowa
 ŚRÓDMIEŚCIE ,  Toruńska
 ANIOŁKI ,  Towarowa
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Trakt Św. Wojciecha
 WYSPA SOBIESZEWSKA ,  Trałowa
 KOKOSZKI ,  Transportowców
 OSOWA ,  Trapowa
 ANIOŁKI ,  Romualda Traugutta
 WRZESZCZ GÓRNY ,  Romualda Traugutta
 WRZESZCZ GÓRNY ,  Trawki
 ANIOŁKI ,  Trubadurów
 PIECKI-MIGOWO ,  Trzy Lipy
 KOKOSZKI ,  Tuchomska
 OLSZYNKA ,  Tulipanów
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Turkusowa
 WYSPA SOBIESZEWSKA ,  Turystyczna
 JASIEŃ ,  Turzycowa
 ANIOŁKI ,  Juliana Tuwima
 MŁYNISKA ,  Twarda
 SUCHANINO ,  Tadeusza Tylewskiego
 KOKOSZKI ,  Tymiankowa
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Tysiąclecia
 ŚRÓDMIEŚCIE ,  U Furty
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Ubocze
 BRZEŹNO ,  Uczniowska
 LETNICA ,  Uczniowska
 STOGI ,  Ugory
 UJEŚCISKO-ŁOSTOWICE ,  Ujeścisko
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Ukośna
 WYSPA SOBIESZEWSKA ,  Ukryta
 ŚRÓDMIEŚCIE ,  Ułańska
 UJEŚCISKO-ŁOSTOWICE ,  Józefa Unruga
 WRZESZCZ GÓRNY ,  Jana Uphagena
 OSOWA ,  Urana
 CHEŁM ,  Uranowa
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Urocza
 WYSPA SOBIESZEWSKA ,  Urwista
 ŚRÓDMIEŚCIE ,  Ustronie
 WYSPA SOBIESZEWSKA ,  Uzdrowiskowa
 OSOWA ,  Victorii
 VII DWÓR ,  Dwór
 PIECKI-MIGOWO ,  Aleksandra Volty
 UJEŚCISKO-ŁOSTOWICE ,  Wadowicka
 SUCHANINO ,  Ryszarda Wagnera
 WRZESZCZ DOLNY ,  Wajdeloty
 BRĘTOWO ,  Jerzego Waldorffa
 BRZEŹNO ,  Walecznych
 WRZESZCZ DOLNY ,  Konrada Wallenroda
 ŚRÓDMIEŚCIE ,  Wałowa
 ŚRÓDMIEŚCIE ,  Wały Jagiellońskie
 ŚRÓDMIEŚCIE ,  Wały Piastowskie
 ŚRÓDMIEŚCIE ,  Wapiennicza
 PIECKI-MIGOWO ,  Warneńska
 UJEŚCISKO-ŁOSTOWICE ,  Warszawska
 ŚRÓDMIEŚCIE ,  Wartka
 WRZESZCZ DOLNY ,  Ludwika Waryńskiego
 WRZESZCZ GÓRNY ,  Ludwika Waryńskiego
 ŚRÓDMIEŚCIE ,  Warzywnicza
 WRZESZCZ GÓRNY ,  Józefa Wassowskiego
 CHEŁM ,  Wawelska
 CHEŁM ,  Józefa Wąsika
 OLSZYNKA ,  Wąskotorowa
 OLIWA ,  Stanisława Wąsowicza
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Wąwóz
 BRZEŹNO ,  Wczasy
 KOKOSZKI ,  Wdzydzka
 OSOWA ,  Wegi
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Jakuba Wejhera
 ŚRÓDMIEŚCIE ,  Wełniarska
 OSOWA ,  Tadeusza Wendy
 OSOWA ,  Wenus
 SIEDLCE ,  Wesoła
 OSOWA ,  Westy
 ŚRÓDMIEŚCIE ,  Węglarska
 WYSPA SOBIESZEWSKA ,  Węgorzowa
 JASIEŃ ,  Eugeniusza Węgrzyna
 KOKOSZKI ,  Węsierska
 ŚRÓDMIEŚCIE ,  Węzeł im. Carla Groddecka 
 MŁYNISKA ,  Węzeł Kliniczna 
 WRZESZCZ DOLNY ,  Węzeł Kliniczna 
 ŚRÓDMIEŚCIE ,  Węzeł Unii Europejskiej 
 BRĘTOWO ,  Wichrowe Wzgórze
 KOKOSZKI ,  Widlińska
 PIECKI-MIGOWO ,  Widok
 KOKOSZKI ,  Wiecka
 ZASPA-ROZSTAJE ,  Henryka Wieczorkiewicza
 KOKOSZKI ,  Wielewska
 ŚRÓDMIEŚCIE ,  Wielkie Młyny
 CHEŁM ,  Kazimierza Wielkiego
 CHEŁM ,  Wielkopolska
 UJEŚCISKO-ŁOSTOWICE ,  Wielkopolska
 LETNICA ,  Wielopole
 SIEDLCE ,  Józefa Wieniawskiego
 WYSPA SOBIESZEWSKA ,  Wieniecka
 ŚRÓDMIEŚCIE ,  Wierzbowa
 ŚRÓDMIEŚCIE ,  Wiesława
 UJEŚCISKO-ŁOSTOWICE ,  Wiewiórcza
 UJEŚCISKO-ŁOSTOWICE ,  Wieżycka
 ŚRÓDMIEŚCIE ,  Więcierze
 CHEŁM ,  prof. Józefa Więckowskiego
 CHEŁM ,  Wigierska
 PRZYMORZE WIELKIE ,  Anastazego Wika-Czarnowskiego
 CHEŁM ,  Wilanowska
 ŚRÓDMIEŚCIE ,  Wilcza
 PIECKI-MIGOWO ,  Wileńska
 WRZESZCZ GÓRNY ,  Wileńska
 OLSZYNKA ,  Wilgi
 STRZYŻA ,  płk. Wilka - Krzyżanowskiego
 NOWY PORT ,  Wilków Morskich
 OSOWA ,  Willowa
 MATARNIA ,  Kazimierza Wiłkomirskiego
 SIEDLCE ,  Winnicka
 WRZESZCZ DOLNY ,  Winogronowa
 MATARNIA ,  Wiolinowa
 KOKOSZKI ,  Wiosenna
 WYSPA SOBIESZEWSKA ,  Wiosłowa
 ŚRÓDMIEŚCIE ,  Wiosny Ludów
 LETNICA ,  Wiślna
 UJEŚCISKO-ŁOSTOWICE ,  Wiśniowa
 VII DWÓR ,  Wita Stwosza
 OLIWA ,  Wita Stwosza
 STRZYŻA ,  Wita Stwosza
 OLIWA ,  Stanisława Witkiewicza
 CHEŁM ,  Wincentego Witosa
 IV NOWY PORT ,  Władysława
 PRZYMORZE MAŁE ,  Władysławowska
 WRZESZCZ GÓRNY ,  Własna Strzecha
 JASIEŃ ,  Włóczników
 WYSPA SOBIESZEWSKA ,  Wodna
 OSOWA ,  Wodnika
 ŚRÓDMIEŚCIE ,  Wodopój
 MATARNIA ,  Jana Wojnarskiego
 STRZYŻA ,  Aleja Wojska Polskiego
 WZGÓRZE MICKIEWICZA ,  Wojskiego
 OSOWA ,  Wolarza
 NOWY PORT ,  Wolności
 PIECKI-MIGOWO ,  Wołkowyska
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Wołyńska
 CHEŁM ,  Stanisława Worcella
 OSOWA ,  Woźnicy
 ANIOŁKI ,  Wrocławska
 ANIOŁKI ,  Wronia
 CHEŁM ,  bpa Andrzeja Wronki
 ŚRÓDMIEŚCIE ,  Wróbla
 WRZESZCZ GÓRNY ,  Zygmunta Wróblewskiego
 WRZESZCZ DOLNY ,  Wrzeszczańska
 KOKOSZKI ,  Wrześniowa
 STOGI ,  Wrzosy
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Wschodnia
 ŚRÓDMIEŚCIE ,  Wspornikowa
 OLSZYNKA ,  Wspólna
 WRZESZCZ GÓRNY ,  Współczesna
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Wyciąg
 SIEDLCE ,  Leona Wyczółkowskiego
 STOGI ,  Wydmy
 ŚRÓDMIEŚCIE ,  Wygon
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Wypoczynkowa
 WRZESZCZ DOLNY ,  Stanisława Wyspiańskiego
 NOWY PORT ,  Wyzwolenia
 ŚRÓDMIEŚCIE ,  Za Murami
 PIECKI-MIGOWO ,  Franciszka Zabłockiego
 ŚRÓDMIEŚCIE ,  Zabłotna
 WRZESZCZ GÓRNY ,  Zabytkowa
 OLIWA ,  Zacisze
 PIECKI-MIGOWO ,  Zacna
 OLSZYNKA ,  Zagony
 SIEDLCE ,  Zagórna
 RUDNIKI ,  Zagroble
 SIEDLCE ,  Zagrodowa
 OLIWA ,  Zajęcza
 STOGI ,  Zakole
 UJEŚCISKO-ŁOSTOWICE ,  Zakoniczyńska
 SIEDLCE ,  Zakopiańska
 SIEDLCE ,  Zakosy
 STOGI ,  Zalesie
 LETNICA ,  Załogowa
 STRZYŻA ,  Ludwika Zamenhofa
 CHEŁM ,  Zamiejska
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Zamiejska
 NOWY PORT ,  Zamknięta
 ŚRÓDMIEŚCIE ,  Zamkowa
 UJEŚCISKO-ŁOSTOWICE ,  Zamojska
 ŚRÓDMIEŚCIE ,  Zaroślak
 OSOWA ,  Mariusza Zaruskiego
 WRZESZCZ DOLNY ,  Zaścianek
 OSOWA ,  Zatokowa
 WRZESZCZ GÓRNY ,  ks. Józefa Zator Przytockiego
 ŚRÓDMIEŚCIE ,  Zaułek Ormiański
 ŚRÓDMIEŚCIE ,  Zaułek Św. Bartłomieja
 ŚRÓDMIEŚCIE ,  Zaułek Zachariasza Zappio
 CHEŁM ,  gen. Elżbiety Zawackiej
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Zawiejska
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Zawilcowa
 WRZESZCZ DOLNY ,  Zawiszy Czarnego
 KRAKOWIEC-GÓRKI ZACHODNIE ,  Zawiślańska
 ŚRÓDMIEŚCIE ,  Zawodników
 OLSZYNKA ,  Zawodzie
 KOKOSZKI ,  Zbąszyńska
 KOKOSZKI ,  Zbieżna
 WRZESZCZ DOLNY ,  Zbyszka z Bogdańca
 ŚRÓDMIEŚCIE ,  Zbytki
 BRZEŹNO ,  Zdrojowa
 BRZEŹNO ,  Aleksandra Zelwerowicza
 MATARNIA ,  Zenitowa
 OSOWA ,  Zeusa
 I PRZYMORZE MAŁE ,  Zgody
 II PRZYMORZE MAŁE ,  Zgody
 OLSZYNKA ,  Zielna
